1;2;3;4;5;6
2;1;3;4;5;10
3;1;2;4;5;8
4;1;2;3;5;12
5;1;2;3;4;7
6;1;7;8;12;16
7;5;6;9;10;20
8;3;6;9;10;11
9;7;8;10;13;18
10;2;7;8;9;14
11;8;13;17;19;28
12;4;6;13;15;18
13;9;11;12;14;26
14;10;13;18;22;25
15;12;16;19;20;24
16;6;15;17;18;23
17;11;16;18;20;25
18;9;12;14;16;17
19;11;15;21;29;32
20;7;15;17;21;30
21;19;20;22;24;30
22;14;21;23;25;26
23;16;22;26;28;30
24;15;21;25;26;27
25;14;17;22;24;35
26;13;22;23;24;31
27;24;28;29;38;42
28;11;23;27;30;39
29;19;27;31;36;43
30;20;21;23;28;33
31;26;29;32;33;37
32;19;31;33;35;41
33;30;31;32;40;47
34;35;36;37;38;40
35;25;32;34;39;46
36;29;34;38;42;44
37;31;34;38;40;42
38;27;34;36;37;50
39;28;35;40;42;43
40;33;34;37;39;41
41;32;40;43;53;55
42;27;36;37;39;45
43;29;39;41;45;47
44;36;45;48;49;57
45;42;43;44;49;50
46;35;47;51;58;60
47;33;43;46;55;62
48;44;49;50;54;58
49;44;45;48;53;54
50;38;45;48;51;62
51;46;50;53;56;57
52;53;54;56;57;59
53;41;49;51;52;58
54;48;49;52;56;59
55;41;47;56;57;62
56;51;52;54;55;57
57;44;51;52;55;56
58;46;48;53;61;62
59;52;54;61;63;64
60;46;61;62;65;75
61;58;59;60;64;66
62;47;50;55;58;60
63;59;64;68;69;70
64;59;61;63;67;69
65;60;66;67;69;70
66;61;65;67;70;73
67;64;65;66;70;78
68;63;69;72;74;79
69;63;64;65;68;73
70;63;65;66;67;71
71;70;72;73;74;83
72;68;71;73;80;82
73;66;69;71;72;74
74;68;71;73;85;93
75;60;76;77;80;85
76;75;77;81;84;89
77;75;76;79;80;81
78;67;79;80;81;92
79;68;77;78;80;92
80;72;75;77;78;79
81;76;77;78;88;97
82;72;84;85;86;99
83;71;84;87;92;95
84;76;82;83;86;93
85;74;75;82;88;89
86;82;84;91;95;96
87;83;89;90;91;93
88;81;85;89;90;96
89;76;85;87;88;90
90;87;88;89;91
91;86;87;90;93
92;78;79;83;93;95
93;74;84;87;91;92
94;95;96;98
95;83;86;92;94;96
96;86;88;94;95;99
97;81;98;100
98;94;97;99;100
99;82;96;98
100;97;98
