1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
2;1;3;4;5;6;7;8;9;10;11;12;13;14;15;17
3;1;2;4;5;6;7;8;9;10;11;12;13;14;15;29
4;1;2;3;5;6;7;8;9;10;11;12;13;14;15;46
5;1;2;3;4;6;7;8;9;10;11;12;13;14;15;45
6;1;2;3;4;5;7;8;9;10;11;12;13;14;15;40
7;1;2;3;4;5;6;8;9;10;11;12;13;14;15;20
8;1;2;3;4;5;6;7;9;10;11;12;13;14;15;55
9;1;2;3;4;5;6;7;8;10;11;12;13;14;15;22
10;1;2;3;4;5;6;7;8;9;11;12;13;14;15;28
11;1;2;3;4;5;6;7;8;9;10;12;13;14;15;25
12;1;2;3;4;5;6;7;8;9;10;11;13;14;15;16
13;1;2;3;4;5;6;7;8;9;10;11;12;14;15;21
14;1;2;3;4;5;6;7;8;9;10;11;12;13;15;29
15;1;2;3;4;5;6;7;8;9;10;11;12;13;14;31
16;12;17;18;19;20;21;23;26;27;29;30;34;35;36;45
17;2;16;19;20;23;27;28;30;32;33;39;41;43;49;51
18;16;19;21;22;23;27;30;31;33;35;36;38;39;51;57
19;16;17;18;20;21;23;26;27;30;32;33;35;41;47;55
20;7;16;17;19;22;23;27;29;40;41;48;50;61;63;83
21;13;16;18;19;23;24;25;26;30;34;38;47;51;64;76
22;9;18;20;23;25;26;27;29;35;37;43;49;50;56;61
23;16;17;18;19;20;21;22;26;27;28;32;40;44;45;52
24;21;25;26;27;28;29;31;35;37;44;45;52;58;59;64
25;11;21;22;24;26;27;29;30;34;35;37;41;42;43;58
26;16;19;21;22;23;24;25;28;31;32;36;38;42;49;52
27;16;17;18;19;20;22;23;24;25;28;30;33;35;42;56
28;10;17;23;24;26;27;29;30;32;35;40;47;77;86
29;3;14;16;20;22;24;25;28;30;32;33;34;41;43;49
30;16;17;18;19;21;25;27;28;29;33;36;45;55;69;72
31;15;18;24;26;32;34;38;39;40;44;48;53;55;62;87
32;17;19;23;26;28;29;31;33;39;40;45;49;54;60;62
33;17;18;19;27;29;30;32;34;35;37;38;39;43;57;64
34;16;21;25;29;31;33;36;37;41;43;58;62;65;69;70
35;16;18;19;22;24;25;27;28;33;38;41;43;53;64;75
36;16;18;26;30;34;37;39;40;42;46;48;49;55;64;67
