1;2
2;1;3
3;2;4
4;3;5
5;4;6
6;5;7
7;6;8
8;7;9
9;8;10
10;9;11
11;10;12
12;11;13
13;12;14
14;13;15
15;14;50
16;18;17
17;16;19
18;50;16
19;17;20
20;19;22
21;26;28
22;20;23
23;22;24
24;23;27
25;27;26
26;25;21
27;24;25
28;21;29
29;28;30
30;29;31
31;30;33
32;36;37
33;31;34
34;33;36
35;37;43
36;34;32
37;32;35
38;41;39
39;38;42
40;42;44
41;43;38
42;39;40
43;35;41
44;40;47
45;46;49
46;47;45
47;44;46
48;49;51
49;45;48
50;15;18
51;48;52
52;51;53
53;52;55
54;55;56
55;53;54
56;54;57
57;56;58
58;57;59
59;58;72
60;68;66
61;64;68
62;66;67
63;78;82
64;72;61
65;67;70
66;60;62
67;62;65
68;61;60
69;70;73
70;65;69
71;83;74
72;59;64
73;69;83
74;71;75
75;74;77
76;77;79
77;75;76
78;79;63
79;76;78
80;82;86
81;84;87
82;63;80
83;73;71
84;86;81
85;87;90
86;80;84
87;81;85
88;89;91
89;90;88
90;85;89
91;88;92
92;91;93
93;92;94
94;93;97
95;98;99
96;97;98
97;94;96;100
98;96;95
99;95
100;97
