1;3
2;41;9
3;1;8
4;6;11
5;7;18
6;10;4
7;8;5
8;3;7
9;2;16
10;18;6
11;4;19
12;44;13
13;12;15
14;75;28
15;13;24
16;9;20
17;29;35
18;5;10
19;11;32
20;16;23
21;24;30
22;26;27
23;20;42
24;15;21
25;45;46
26;39;22
27;22;49
28;14;56;83
29;63;17
30;21;48
31;37;57
32;19;40
33;43;39
34;79;50
35;17;36
36;35;52
37;47;31
38;58;61;97
39;33;26
40;32;43
41;48;2
42;23;72
43;40;33
44;54;12
45;72;25;69
46;25;55
47;49;37
48;30;41
49;27;47
50;34;80
51;83;96
52;36;53
53;52;59
54;70;44
55;46;60
56;28;70
57;31;68
58;74;38
59;53;64
60;55;65
61;38;66;82
62;64;71
63;67;29
64;59;62
65;60;67
66;61;78
67;65;63
68;57;84
69;45;81
70;56;54
71;62;87
72;42;45
73;82;90
74;87;58
75;80;14
76;99;89
77;91
78;66;88
79;84;34
80;50;75;85
81;69;86
82;61;73;91
83;28;51
84;68;79
85;80;92;95
86;81;93
87;71;74
88;78
89;76
90;73;98
91;82;77
92;85
93;86;94;100
94;93
95;85
96;51
97;38;99
98;90
99;97;76
100;93
