1;2
2;1;3
3;2;4
4;3;7
5;9;12
6;12;13
7;4;8
8;7;9
9;8;5
10;18;24
11;14;18
12;5;6
13;6;14
14;13;11
15;16;26
16;17;15
17;24;16
18;11;10
19;26;21
20;22;28
21;19;27
22;29;20
23;28;33
24;10;17
25;33;31
26;15;19
27;21;29
28;20;23
29;27;22
30;40;32
31;25;35
32;30;34
33;23;25
34;32;36
35;31;40
36;34;37
37;36;38
38;37;39
39;38;41
40;35;30
41;39;48
42;48;45
43;59;53
44;45;46
45;42;44
46;44;47
47;46;65
48;41;42
49;58;60
50;52;54
51;56;52
52;51;50
53;43;55
54;50;59
55;53;61
56;65;51
57;63;71
58;61;49
59;54;43
60;49;67
61;55;58
62;69;64
63;70;57
64;62;72
65;47;56
66;72;73
67;60;68
68;67;70
69;71;62
70;68;63
71;57;69
72;64;66
73;66;74
74;73;78
75;81;76
76;75;77
77;76;84
78;74;81
79;80;87
80;85;79
81;78;75
82;86;88
83;87;90
84;77;86
85;88;80
86;84;82
87;79;83
88;82;85
89;93;94;98
90;83;93
91;94;92
92;91;95
93;90;89
94;89;91
95;92;96;97;99
96;95;100
97;95
98;89
99;95
100;96
