source;target;label
0;1;92.94
0;2;94.31
0;3;72.38
0;4;78.11
0;5;28.44
0;6;57.66
0;7;23.42
0;8;23.02
0;9;89.84
0;10;26.70
0;11;86.82
0;12;56.27
0;13;7.69
0;14;33.86
0;19;65.21
1;0;92.94
1;2;47.68
1;3;84.55
1;4;20.62
1;5;90.89
1;6;86.43
1;7;58.79
1;8;66.38
1;9;60.19
1;10;53.46
1;11;1.15
1;12;58.08
1;13;12.58
1;14;28.35
1;20;78.43
2;0;94.31
2;1;47.68
2;3;21.96
2;4;98.87
2;5;92.82
2;6;45.57
2;7;86.67
2;8;37.64
2;9;78.93
2;10;63.51
2;11;56.57
2;12;53.20
2;13;11.01
2;14;61.38
2;17;3.46
3;0;72.38
3;1;84.55
3;2;21.96
3;4;13.53
3;5;64.47
3;6;78.35
3;7;69.49
3;8;61.85
3;9;41.99
3;10;77.51
3;11;44.21
3;12;93.39
3;13;61.20
3;14;94.97
3;29;59.62
4;0;78.11
4;1;20.62
4;2;98.87
4;3;13.53
4;5;81.69
4;6;22.56
4;7;72.04
4;8;51.15
4;9;22.48
4;10;60.29
4;11;54.95
4;12;59.88
4;13;33.86
4;14;60.91
4;20;8.49
5;0;28.44
5;1;90.89
5;2;92.82
5;3;64.47
5;4;81.69
5;6;7.29
5;7;67.43
5;8;78.84
5;9;47.94
5;10;1.56
5;11;83.49
5;12;16.68
5;13;4.22
5;14;48.54
5;18;80.74
6;0;57.66
6;1;86.43
6;2;45.57
6;3;78.35
6;4;22.56
6;5;7.29
6;7;7.42
6;8;45.38
6;9;19.04
6;10;41.51
6;11;23.71
6;12;25.32
6;13;16.62
6;14;12.58
6;54;85.59
7;0;23.42
7;1;58.79
7;2;86.67
7;3;69.49
7;4;72.04
7;5;67.43
7;6;7.42
7;8;52.60
7;9;70.06
7;10;13.81
7;11;91.95
7;12;48.35
7;13;1.97
7;14;9.34
7;30;68.39
8;0;23.02
8;1;66.38
8;2;37.64
8;3;61.85
8;4;51.15
8;5;78.84
8;6;45.38
8;7;52.60
8;9;74.90
8;10;13.75
8;11;28.31
8;12;48.52
8;13;34.47
8;14;89.16
8;39;12.00
9;0;89.84
9;1;60.19
9;2;78.93
9;3;41.99
9;4;22.48
9;5;47.94
9;6;19.04
9;7;70.06
9;8;74.90
9;10;91.41
9;11;34.22
9;12;66.27
9;13;37.36
9;14;24.76
9;17;22.48
10;0;26.70
10;1;53.46
10;2;63.51
10;3;77.51
10;4;60.29
10;5;1.56
10;6;41.51
10;7;13.81
10;8;13.75
10;9;91.41
10;11;42.11
10;12;29.99
10;13;72.98
10;14;17.76
10;16;2.81
11;0;86.82
11;1;1.15
11;2;56.57
11;3;44.21
11;4;54.95
11;5;83.49
11;6;23.71
11;7;91.95
11;8;28.31
11;9;34.22
11;10;42.11
11;12;74.43
11;13;78.40
11;14;56.04
11;65;62.48
12;0;56.27
12;1;58.08
12;2;53.20
12;3;93.39
12;4;59.88
12;5;16.68
12;6;25.32
12;7;48.35
12;8;48.52
12;9;66.27
12;10;29.99
12;11;74.43
12;13;10.57
12;14;13.03
12;39;15.52
13;0;7.69
13;1;12.58
13;2;11.01
13;3;61.20
13;4;33.86
13;5;4.22
13;6;16.62
13;7;1.97
13;8;34.47
13;9;37.36
13;10;72.98
13;11;78.40
13;12;10.57
13;14;7.94
13;32;6.96
14;0;33.86
14;1;28.35
14;2;61.38
14;3;94.97
14;4;60.91
14;5;48.54
14;6;12.58
14;7;9.34
14;8;89.16
14;9;24.76
14;10;17.76
14;11;56.04
14;12;13.03
14;13;7.94
14;22;87.31
15;16;68.91
15;17;2.93
15;18;63.47
15;19;1.67
15;20;85.52
15;22;87.42
15;23;44.96
15;24;21.76
15;25;40.37
15;34;95.12
15;36;97.55
15;46;47.88
15;57;13.78
15;60;90.53
15;74;97.44
16;10;2.81
16;15;68.91
16;17;99.95
16;18;94.38
16;20;70.37
16;21;35.26
16;22;97.37
16;23;54.46
16;24;85.35
16;28;91.24
16;31;71.92
16;43;65.81
16;44;27.94
16;63;68.34
16;94;5.16
17;2;3.46
17;9;22.48
17;15;2.93
17;16;99.95
17;19;73.78
17;20;39.74
17;21;23.49
17;23;21.28
17;27;68.66
17;28;55.12
17;29;60.11
17;34;53.26
17;52;73.64
17;53;21.37
17;58;33.42
18;5;80.74
18;15;63.47
18;16;94.38
18;19;29.25
18;20;33.17
18;22;15.15
18;27;6.12
18;29;20.58
18;33;59.12
18;35;28.16
18;40;64.40
18;43;52.15
18;45;24.84
18;75;85.92
19;0;65.21
19;15;1.67
19;17;73.78
19;18;29.25
19;20;80.88
19;21;77.38
19;22;70.30
19;24;85.23
19;25;14.64
19;26;48.28
19;27;8.33
19;29;88.97
19;30;81.88
19;45;73.30
19;59;51.00
20;1;78.43
20;4;8.49
20;15;85.52
20;16;70.37
20;17;39.74
20;18;33.17
20;19;80.88
20;21;59.23
20;23;3.94
20;24;91.53
20;27;16.54
20;31;6.85
20;35;51.89
20;37;32.13
20;68;71.79
21;16;35.26
21;17;23.49
21;19;77.38
21;20;59.23
21;23;27.79
21;24;88.32
21;25;37.79
21;26;43.08
21;27;87.04
21;30;1.91
21;34;35.35
21;36;15.01
21;38;84.11
21;40;55.18
21;90;33.94
22;14;87.31
22;15;87.42
22;16;97.37
22;18;15.15
22;19;70.30
22;23;61.87
22;24;64.43
22;26;84.48
22;27;9.36
22;32;56.46
22;34;17.96
22;36;97.55
22;43;39.08
22;58;81.40
22;64;90.30
23;15;44.96
23;16;54.46
23;17;21.28
23;20;3.94
23;21;27.79
23;22;61.87
23;24;97.55
23;25;14.15
23;26;48.90
23;35;36.03
23;36;72.18
23;37;62.56
23;44;42.90
23;48;42.13
23;53;48.16
24;15;21.76
24;16;85.35
24;19;85.23
24;20;91.53
24;21;88.32
24;22;64.43
24;23;97.55
24;26;91.74
24;27;12.75
24;29;43.18
24;31;14.46
24;34;57.76
24;43;7.01
24;44;98.44
24;48;29.71
25;15;40.37
25;19;14.64
25;21;37.79
25;23;14.15
25;27;79.15
25;30;57.93
25;33;23.24
25;34;5.63
25;38;35.25
25;39;4.33
25;40;18.20
25;41;55.76
25;46;60.00
25;48;10.55
25;72;99.00
26;19;48.28
26;21;43.08
26;22;84.48
26;23;48.90
26;24;91.74
26;27;53.54
26;29;73.09
26;30;8.54
26;33;11.93
26;34;35.64
26;35;19.03
26;37;16.76
26;47;34.34
26;52;28.75
26;90;37.31
27;17;68.66
27;18;6.12
27;19;8.33
27;20;16.54
27;21;87.04
27;22;9.36
27;24;12.75
27;25;79.15
27;26;53.54
27;30;5.20
27;32;18.00
27;38;13.89
27;39;89.74
27;40;8.83
27;48;1.81
28;16;91.24
28;17;55.12
28;30;47.14
28;31;48.08
28;33;53.27
28;34;95.93
28;36;92.04
28;38;90.56
28;39;34.59
28;44;73.56
28;46;80.95
28;48;90.80
28;58;61.69
28;69;30.66
29;3;59.62
29;17;60.11
29;18;20.58
29;19;88.97
29;24;43.18
29;26;73.09
29;31;3.05
29;33;68.13
29;34;72.37
29;37;67.47
29;41;77.58
29;42;52.17
29;44;49.30
29;55;56.73
29;60;6.74
30;7;68.39
30;19;81.88
30;21;1.91
30;25;57.93
30;26;8.54
30;27;5.20
30;28;47.14
30;31;7.02
30;36;92.60
30;37;26.37
30;38;69.53
30;46;88.60
30;47;54.99
30;52;97.96
30;58;35.59
31;16;71.92
31;20;6.85
31;24;14.46
31;28;48.08
31;29;3.05
31;30;7.02
31;32;89.50
31;34;47.06
31;35;38.86
31;36;96.41
31;37;78.94
31;40;46.18
31;55;39.00
31;61;63.24
31;80;44.61
32;13;6.96
32;22;56.46
32;27;18.00
32;31;89.50
32;34;54.90
32;37;56.11
32;39;58.72
32;42;71.46
32;44;51.08
32;47;4.60
32;50;52.93
32;61;69.96
32;64;38.31
32;66;39.09
32;73;88.00
33;18;59.12
33;25;23.24
33;26;11.93
33;28;53.27
33;29;68.13
33;35;8.72
33;36;35.62
33;38;67.18
33;40;25.50
33;41;40.93
33;46;56.39
33;47;65.99
33;51;28.54
33;59;72.57
33;69;76.42
34;15;95.12
34;17;53.26
34;21;35.35
34;22;17.96
34;24;57.76
34;25;5.63
34;26;35.64
34;28;95.93
34;29;72.37
34;31;47.06
34;32;54.90
34;35;51.57
34;36;52.74
34;37;22.31
34;58;15.88
35;18;28.16
35;20;51.89
35;23;36.03
35;26;19.03
35;31;38.86
35;33;8.72
35;34;51.57
35;36;9.01
35;38;57.06
35;39;36.36
35;42;45.09
35;44;55.91
35;48;69.04
35;62;52.15
35;69;93.44
36;15;97.55
36;21;15.01
36;22;97.55
36;23;72.18
36;28;92.04
36;30;92.60
36;31;96.41
36;33;35.62
36;34;52.74
36;35;9.01
36;37;9.26
36;38;70.43
36;52;29.38
36;77;54.90
37;20;32.13
37;23;62.56
37;26;16.76
37;29;67.47
37;30;26.37
37;31;78.94
37;32;56.11
37;34;22.31
37;36;9.26
37;38;79.73
37;39;28.56
37;44;13.45
37;45;36.75
37;56;16.62
37;67;88.51
38;21;84.11
38;25;35.25
38;27;13.89
38;28;90.56
38;30;69.53
38;33;67.18
38;35;57.06
38;36;70.43
38;37;79.73
38;43;49.12
38;44;34.37
38;47;84.11
38;49;15.24
38;53;41.63
38;59;90.19
39;8;12.00
39;12;15.52
39;25;4.33
39;27;89.74
39;28;34.59
39;32;58.72
39;35;36.36
39;37;28.56
39;41;79.51
39;48;72.35
39;52;2.83
39;60;15.37
39;61;19.99
39;64;53.04
39;70;11.08
40;18;64.40
40;21;55.18
40;25;18.20
40;27;8.83
40;31;46.18
40;33;25.50
40;41;86.32
40;47;1.23
40;48;83.49
40;50;5.54
40;52;18.93
40;59;21.44
40;71;15.33
40;75;73.97
40;90;9.20
41;25;55.76
41;29;77.58
41;33;40.93
41;39;79.51
41;40;86.32
41;42;76.89
41;43;57.09
41;44;60.79
41;47;68.57
41;51;37.02
41;52;56.47
41;53;14.18
41;55;7.55
41;57;25.09
41;63;5.64
42;29;52.17
42;32;71.46
42;35;45.09
42;41;76.89
42;43;21.06
42;46;10.82
42;47;45.52
42;49;32.61
42;55;74.11
42;57;30.32
42;60;53.22
42;62;50.65
42;63;35.14
42;77;38.95
42;79;14.93
43;16;65.81
43;18;52.15
43;22;39.08
43;24;7.01
43;38;49.12
43;41;57.09
43;42;21.06
43;45;39.18
43;46;32.01
43;49;70.71
43;50;34.92
43;59;80.05
43;69;71.52
43;71;74.69
43;81;94.23
44;16;27.94
44;23;42.90
44;24;98.44
44;28;73.56
44;29;49.30
44;32;51.08
44;35;55.91
44;37;13.45
44;38;34.37
44;41;60.79
44;46;59.65
44;48;31.49
44;54;37.71
44;55;37.17
44;72;58.24
45;18;24.84
45;19;73.30
45;37;36.75
45;43;39.18
45;47;46.88
45;50;64.82
45;51;88.55
45;52;97.73
45;53;74.23
45;58;15.78
45;60;59.89
45;63;47.12
45;64;38.88
45;65;39.81
45;94;78.04
46;15;47.88
46;25;60.00
46;28;80.95
46;30;88.60
46;33;56.39
46;42;10.82
46;43;32.01
46;44;59.65
46;50;94.42
46;51;86.01
46;59;90.47
46;60;9.93
46;68;77.23
46;73;75.27
46;79;5.57
47;26;34.34
47;30;54.99
47;32;4.60
47;33;65.99
47;38;84.11
47;40;1.23
47;41;68.57
47;42;45.52
47;45;46.88
47;48;71.99
47;49;27.59
47;50;50.26
47;65;7.16
47;67;86.57
47;82;51.08
48;23;42.13
48;24;29.71
48;25;10.55
48;27;1.81
48;28;90.80
48;35;69.04
48;39;72.35
48;40;83.49
48;44;31.49
48;47;71.99
48;49;57.10
48;56;49.83
48;67;15.37
48;83;48.04
48;98;45.18
49;38;15.24
49;42;32.61
49;43;70.71
49;47;27.59
49;48;57.10
49;50;12.42
49;51;84.61
49;54;67.24
49;55;66.51
49;57;23.69
49;60;6.45
49;65;2.29
49;69;15.56
49;70;46.15
49;71;46.90
50;32;52.93
50;40;5.54
50;43;34.92
50;45;64.82
50;46;94.42
50;47;50.26
50;49;12.42
50;51;6.81
50;52;48.50
50;54;57.26
50;55;30.85
50;58;7.68
50;60;76.70
50;61;64.85
50;65;46.67
51;33;28.54
51;41;37.02
51;45;88.55
51;46;86.01
51;49;84.61
51;50;6.81
51;52;77.05
51;53;30.81
51;55;51.75
51;57;83.80
51;60;39.09
51;61;38.04
51;62;37.33
51;63;64.90
51;72;45.14
52;17;73.64
52;26;28.75
52;30;97.96
52;36;29.38
52;39;2.83
52;40;18.93
52;41;56.47
52;45;97.73
52;50;48.50
52;51;77.05
52;53;20.55
52;56;34.36
52;62;68.54
52;63;13.69
52;64;28.10
53;17;21.37
53;23;48.16
53;38;41.63
53;41;14.18
53;45;74.23
53;51;30.81
53;52;20.55
53;56;17.46
53;57;64.65
53;59;9.40
53;62;35.34
53;63;7.51
53;67;67.90
53;75;90.11
53;79;33.00
54;6;85.59
54;44;37.71
54;49;67.24
54;50;57.26
54;57;72.58
54;58;52.64
54;60;30.21
54;61;58.21
54;62;1.18
54;63;98.44
54;64;80.41
54;69;6.31
54;73;51.26
54;75;45.51
54;76;54.87
55;29;56.73
55;31;39.00
55;41;7.55
55;42;74.11
55;44;37.17
55;49;66.51
55;50;30.85
55;51;51.75
55;56;18.84
55;57;73.25
55;58;31.20
55;60;22.99
55;61;98.87
55;64;46.86
55;99;47.88
56;37;16.62
56;48;49.83
56;52;34.36
56;53;17.46
56;55;18.84
56;57;26.10
56;61;13.67
56;62;67.78
56;63;63.36
56;65;99.60
56;69;74.56
56;71;63.48
56;86;74.50
56;92;16.65
56;95;36.34
57;15;13.78
57;41;25.09
57;42;30.32
57;49;23.69
57;51;83.80
57;53;64.65
57;54;72.58
57;55;73.25
57;56;26.10
57;60;35.02
57;61;90.76
57;64;36.28
57;70;75.27
57;75;82.26
57;82;28.47
58;17;33.42
58;22;81.40
58;28;61.69
58;30;35.59
58;34;15.88
58;45;15.78
58;50;7.68
58;54;52.64
58;55;31.20
58;61;38.40
58;64;97.36
58;68;66.62
58;69;35.13
58;73;2.67
58;75;24.62
59;19;51.00
59;33;72.57
59;38;90.19
59;40;21.44
59;43;80.05
59;46;90.47
59;53;9.40
59;63;42.78
59;68;55.43
59;72;71.53
59;74;21.56
59;83;13.90
59;84;44.07
59;86;71.44
60;15;90.53
60;29;6.74
60;39;15.37
60;42;53.22
60;45;59.89
60;46;9.93
60;49;6.45
60;50;76.70
60;51;39.09
60;54;30.21
60;55;22.99
60;57;35.02
60;65;27.18
60;75;68.85
61;31;63.24
61;32;69.96
61;39;19.99
61;50;64.85
61;51;38.04
61;54;58.21
61;55;98.87
61;56;13.67
61;57;90.76
61;58;38.40
61;64;12.64
61;65;60.10
61;68;31.96
61;72;14.86
61;89;14.73
62;35;52.15
62;42;50.65
62;51;37.33
62;52;68.54
62;53;35.34
62;54;1.18
62;56;67.78
62;63;67.45
62;64;62.69
62;69;59.29
62;70;72.80
62;73;88.40
62;78;51.90
62;83;77.89
62;87;22.02
63;16;68.34
63;41;5.64
63;42;35.14
63;45;47.12
63;51;64.90
63;52;13.69
63;53;7.51
63;54;98.44
63;56;63.36
63;59;42.78
63;62;67.45
63;67;89.07
63;68;24.91
63;71;34.09
63;79;96.38
64;22;90.30
64;32;38.31
64;39;53.04
64;45;38.88
64;52;28.10
64;54;80.41
64;55;46.86
64;57;36.28
64;58;97.36
64;61;12.64
64;62;62.69
64;65;57.53
64;73;39.50
64;74;75.54
64;79;72.55
65;11;62.48
65;45;39.81
65;47;7.16
