source;target;weight
1;12;9.26
1;2;99.09
2;1;99.09
3;27;93.14
3;17;75.66
4;10;49.03
4;21;42.79
4;14;44.55
4;16;71.27
4;24;4.45
5;19;70.82
7;12;98.18
7;22;17.24
8;10;16.69
9;17;19.00
10;4;49.03
10;8;16.69
11;19;7.04
12;19;53.29
12;29;67.03
12;7;98.18
12;1;9.26
12;24;18.71
12;18;42.89
12;23;18.68
13;18;12.67
13;28;22.09
14;4;44.55
16;17;40.89
16;28;65.05
16;4;71.27
17;16;40.89
17;9;19.00
17;3;75.66
18;26;28.20
18;13;12.67
18;25;25.47
18;12;42.89
19;12;53.29
19;5;70.82
19;11;7.04
20;21;12.20
21;4;42.79
21;20;12.20
22;29;90.05
22;7;17.24
23;12;18.68
23;29;64.84
24;12;18.71
24;4;4.45
25;18;25.47
26;18;28.20
27;3;93.14
27;28;30.78
28;27;30.78
28;16;65.05
28;13;22.09
29;12;67.03
29;22;90.05
29;23;64.84
