source;target;weight
0;7;35.32
0;9;36.70
0;11;64.15
0;23;37.12
0;35;25.89
0;36;10.75
0;49;11.11
0;55;20.69
0;59;39.08
0;75;56.36
0;80;92.72
0;86;98.41
0;94;27.52
0;95;6.83
0;96;69.30
1;5;89.52
1;8;31.88
1;13;92.19
1;24;75.71
1;42;28.71
1;60;51.54
1;61;61.57
1;78;54.70
1;82;10.46
1;98;59.00
2;5;29.67
2;8;18.60
2;13;80.59
2;20;17.26
2;24;15.33
2;31;4.16
2;32;95.14
2;42;94.78
2;48;16.43
2;51;69.81
2;52;73.86
2;54;21.25
2;56;50.26
2;57;9.69
2;60;60.27
2;61;63.20
2;63;1.38
2;65;3.27
2;68;39.74
2;74;5.57
2;78;49.04
2;82;24.94
2;83;30.22
2;92;62.69
2;98;30.43
3;12;14.79
3;16;66.55
3;17;79.52
3;20;3.60
3;27;85.29
3;28;71.06
3;29;88.95
3;32;83.57
3;39;8.66
3;40;41.69
3;45;97.52
3;48;20.70
3;51;62.04
3;52;25.97
3;54;38.15
3;57;98.17
3;65;22.64
3;76;64.87
3;77;47.51
3;81;63.04
3;83;28.21
3;85;43.41
3;88;38.18
3;97;83.44
4;15;22.90
4;22;35.32
4;26;83.30
4;27;38.18
4;34;9.13
4;37;21.44
4;44;38.11
4;47;54.46
4;53;75.95
4;59;62.10
4;64;20.96
4;70;13.79
4;73;8.49
4;84;6.76
4;85;27.00
4;97;11.93
5;1;89.52
5;2;29.67
5;8;25.37
5;13;19.77
5;24;93.19
5;42;54.42
5;56;23.89
5;60;41.69
5;61;73.25
5;63;62.04
5;68;57.19
5;72;59.54
5;78;79.14
5;82;30.66
5;92;12.33
5;98;83.75
6;10;54.79
6;19;48.36
6;22;24.96
6;33;3.99
6;38;14.23
6;39;78.36
6;41;18.79
6;45;39.37
6;46;2.01
6;47;73.14
6;69;59.14
6;70;11.81
6;73;6.44
6;77;66.26
6;84;62.79
6;90;61.81
6;93;95.46
7;0;35.32
7;9;87.35
7;11;21.58
7;23;15.14
7;34;70.41
7;35;32.73
7;36;54.48
7;49;86.29
7;55;37.86
7;59;44.97
7;71;47.14
7;72;76.75
7;75;53.85
7;79;74.54
7;80;7.28
7;86;45.46
