source;target;label
0;8;95.14
0;23;42.62
1;14;27.35
1;15;66.06
1;22;55.76
1;26;32.96
2;3;83.60
2;12;73.82
2;24;42.93
3;2;83.60
3;12;48.79
3;24;41.66
4;19;11.54
5;13;44.64
5;16;2.27
5;20;95.20
6;18;26.42
6;21;30.24
6;27;95.33
7;17;10.22
8;0;95.14
8;10;63.67
8;23;9.72
9;10;26.39
9;27;13.22
10;8;63.67
10;9;26.39
10;24;70.99
11;13;14.09
12;2;73.82
12;3;48.79
12;24;20.64
13;5;44.64
13;11;14.09
13;16;25.12
13;20;23.99
13;25;80.68
14;1;27.35
14;15;15.32
14;27;58.62
15;1;66.06
15;14;15.32
15;26;65.78
15;27;57.79
16;5;2.27
16;13;25.12
16;20;67.95
16;25;14.93
17;7;10.22
18;6;26.42
18;21;52.24
18;26;77.21
18;27;35.79
19;4;11.54
19;22;71.12
20;5;95.20
20;13;23.99
20;16;67.95
20;25;4.48
21;6;30.24
21;18;52.24
21;28;8.93
22;1;55.76
22;19;71.12
22;26;39.03
23;0;42.62
23;8;9.72
24;2;42.93
24;3;41.66
24;10;70.99
24;12;20.64
25;13;80.68
25;16;14.93
25;20;4.48
26;1;32.96
26;15;65.78
26;18;77.21
26;22;39.03
27;6;95.33
27;9;13.22
27;14;58.62
27;15;57.79
27;18;35.79
28;21;8.93
