source;target;weight
0;6;78.37
0;8;19.86
0;9;41.22
0;13;59.51
0;14;72.19
0;18;82.45
0;19;51.83
0;23;95.61
0;28;83.01
0;33;65.74
0;34;95.60
0;40;5.08
0;42;46.21
0;43;12.98
0;45;62.39
0;46;23.85
0;57;4.25
0;62;40.25
0;65;23.79
0;67;20.37
0;68;64.75
0;73;3.62
0;89;37.17
0;97;28.97
0;104;37.35
0;110;55.95
0;113;11.45
0;114;61.18
0;116;63.14
0;124;31.87
0;125;95.59
0;128;1.62
0;131;84.43
0;133;72.03
0;134;57.11
0;144;3.49
0;145;84.30
0;150;22.54
0;151;16.60
0;153;36.26
0;155;80.37
0;158;54.92
0;159;43.50
0;160;4.58
0;163;67.52
0;167;9.07
0;170;43.85
0;175;73.11
0;180;48.93
0;181;60.21
0;182;34.41
0;192;3.67
0;195;49.09
0;203;54.70
0;205;99.96
0;208;2.78
0;220;76.86
0;226;98.48
0;230;10.07
0;235;79.09
0;236;45.48
0;238;8.91
0;246;38.29
0;258;76.26
0;261;48.64
0;265;10.89
0;267;72.26
0;271;48.27
0;275;56.36
0;276;44.86
0;278;72.38
0;283;31.65
0;289;8.08
0;291;32.40
0;294;52.03
0;295;91.38
0;299;39.39
0;300;92.63
0;304;41.73
0;306;28.87
0;310;72.50
0;314;43.28
0;315;56.12
0;316;51.28
0;317;23.09
0;326;11.27
0;327;81.65
0;330;54.78
0;331;13.57
0;335;69.14
0;336;86.31
0;341;62.28
0;343;82.52
0;347;14.90
0;353;32.48
0;358;64.31
0;363;77.82
0;366;50.14
0;369;84.83
0;371;6.33
0;373;68.02
0;376;46.10
0;380;64.76
0;383;1.47
0;387;17.68
0;391;6.06
0;392;69.08
0;393;66.37
0;401;53.20
0;415;11.91
0;416;14.50
0;420;91.53
0;421;21.91
0;422;89.20
0;423;57.70
0;424;13.02
0;429;31.32
0;432;12.64
0;441;16.51
0;446;35.78
0;449;67.17
0;450;53.80
0;452;28.98
0;454;17.85
0;467;43.89
0;468;68.89
0;472;60.62
0;475;6.28
0;476;12.86
0;479;76.21
0;481;35.34
0;486;21.64
0;488;26.31
0;489;7.16
0;490;94.88
0;491;27.94
0;494;4.88
0;498;77.22
0;499;44.24
1;7;97.26
1;10;16.49
1;16;91.81
1;19;28.93
1;20;12.36
1;21;17.09
1;24;86.12
1;27;69.94
1;29;48.31
1;37;83.55
1;39;70.29
1;40;67.11
1;46;67.78
1;48;42.73
1;50;98.75
1;52;66.85
1;61;3.80
1;63;64.97
1;64;85.57
