source;target;label
0;1;30.16
0;2;90.36
0;3;53.11
0;4;18.10
0;5;30.48
0;6;33.74
0;7;84.50
0;8;34.46
0;9;64.07
0;10;38.48
0;11;73.28
0;12;51.00
0;13;55.53
0;14;40.54
0;21;58.25
1;0;30.16
1;2;61.82
1;3;14.98
1;4;28.13
1;5;11.91
1;6;61.70
1;7;16.59
1;8;31.03
1;9;37.01
1;10;93.57
1;11;35.97
1;12;7.93
1;13;82.11
1;14;68.20
1;33;26.23
2;0;90.36
2;1;61.82
2;3;39.66
2;4;96.78
2;5;22.84
2;6;31.04
2;7;56.42
2;8;83.24
2;9;5.77
2;10;2.46
2;11;90.35
2;12;15.87
2;13;90.83
2;14;99.57
2;82;62.71
3;0;53.11
3;1;14.98
3;2;39.66
3;4;42.30
3;5;81.45
3;6;70.71
3;7;21.91
3;8;47.30
3;9;7.22
3;10;88.60
3;11;41.43
3;12;53.42
3;13;31.29
3;14;7.66
3;15;80.49
4;0;18.10
4;1;28.13
4;2;96.78
4;3;42.30
4;5;81.96
4;6;7.82
4;7;34.12
4;8;90.58
4;9;29.84
4;10;83.54
4;11;95.63
4;12;78.90
4;13;15.54
4;14;22.72
4;19;50.26
5;0;30.48
5;1;11.91
5;2;22.84
5;3;81.45
5;4;81.96
5;6;92.99
5;7;34.64
5;8;1.39
5;9;70.60
5;10;75.69
5;11;62.85
5;12;81.97
5;13;61.20
5;14;34.33
5;23;69.30
6;0;33.74
6;1;61.70
6;2;31.04
6;3;70.71
6;4;7.82
6;5;92.99
6;7;25.45
6;8;14.31
6;9;89.20
6;10;30.10
6;11;16.10
6;12;81.61
6;13;90.13
6;14;98.50
6;31;97.88
7;0;84.50
7;1;16.59
7;2;56.42
7;3;21.91
7;4;34.12
7;5;34.64
7;6;25.45
7;8;84.32
7;9;5.00
7;10;47.66
7;11;59.49
7;12;13.69
7;13;74.98
7;14;77.81
7;59;53.76
8;0;34.46
8;1;31.03
8;2;83.24
8;3;47.30
8;4;90.58
8;5;1.39
8;6;14.31
8;7;84.32
8;9;53.38
8;10;47.42
8;11;51.66
8;12;68.60
8;13;60.43
8;14;86.66
8;15;76.44
9;0;64.07
9;1;37.01
9;2;5.77
9;3;7.22
9;4;29.84
9;5;70.60
9;6;89.20
9;7;5.00
9;8;53.38
9;10;69.14
9;11;33.78
9;12;64.70
9;13;48.58
9;14;96.36
9;22;91.85
10;0;38.48
10;1;93.57
10;2;2.46
10;3;88.60
10;4;83.54
10;5;75.69
10;6;30.10
10;7;47.66
10;8;47.42
10;9;69.14
10;11;67.25
10;12;5.90
10;13;57.45
10;14;14.36
10;15;70.98
11;0;73.28
11;1;35.97
11;2;90.35
11;3;41.43
11;4;95.63
11;5;62.85
11;6;16.10
11;7;59.49
11;8;51.66
11;9;33.78
11;10;67.25
11;12;20.32
11;13;17.72
11;14;84.25
11;25;86.81
12;0;51.00
12;1;7.93
12;2;15.87
12;3;53.42
12;4;78.90
12;5;81.97
12;6;81.61
12;7;13.69
12;8;68.60
12;9;64.70
12;10;5.90
12;11;20.32
12;13;78.65
12;14;11.43
12;30;43.78
13;0;55.53
13;1;82.11
13;2;90.83
13;3;31.29
13;4;15.54
13;5;61.20
13;6;90.13
13;7;74.98
13;8;60.43
13;9;48.58
13;10;57.45
13;11;17.72
13;12;78.65
13;14;74.76
13;72;22.76
14;0;40.54
14;1;68.20
14;2;99.57
14;3;7.66
14;4;22.72
14;5;34.33
14;6;98.50
14;7;77.81
14;8;86.66
14;9;96.36
14;10;14.36
14;11;84.25
14;12;11.43
14;13;74.76
14;16;90.13
15;3;80.49
15;8;76.44
15;10;70.98
15;16;74.72
15;17;24.36
15;18;44.21
15;20;86.76
15;21;87.18
15;23;63.69
15;24;53.49
15;30;2.71
15;33;44.58
15;41;95.85
15;49;98.23
15;61;66.94
16;14;90.13
16;15;74.72
16;17;24.07
16;18;55.41
16;19;25.45
16;20;23.41
16;23;64.42
16;24;14.76
16;27;3.37
16;31;38.20
16;32;60.31
16;33;87.71
16;34;28.27
16;36;5.07
16;49;74.37
17;15;24.36
17;16;24.07
17;18;28.22
17;19;16.15
17;20;32.02
17;21;25.51
17;25;13.60
17;27;95.05
17;29;88.57
17;30;97.78
17;35;12.13
17;39;45.97
17;43;16.27
17;54;37.73
17;58;2.41
18;15;44.21
18;16;55.41
18;17;28.22
18;19;98.72
18;20;87.89
18;21;51.84
18;22;31.32
18;23;18.83
18;24;49.88
18;25;34.40
18;28;90.51
18;29;24.20
18;31;81.33
18;42;96.10
18;96;67.17
19;4;50.26
19;16;25.45
19;17;16.15
19;18;98.72
19;20;33.56
19;21;20.43
19;25;36.02
19;27;73.93
19;28;88.42
19;33;24.37
19;35;10.90
19;36;88.04
19;39;43.79
19;41;96.97
19;89;17.98
20;15;86.76
20;16;23.41
20;17;32.02
20;18;87.89
20;19;33.56
20;21;5.71
20;22;4.79
20;23;22.01
20;24;15.63
20;25;16.18
20;28;71.93
20;29;48.86
20;36;19.10
20;37;14.37
20;39;89.07
21;0;58.25
21;15;87.18
21;17;25.51
21;18;51.84
21;19;20.43
21;20;5.71
21;23;52.27
21;24;59.67
21;25;86.99
21;28;86.51
21;29;89.23
21;32;44.46
21;37;16.31
21;41;88.36
21;56;55.16
22;9;91.85
22;18;31.32
22;20;4.79
22;23;74.27
22;25;58.10
22;26;49.06
22;27;57.88
22;28;60.34
22;30;23.56
22;33;71.12
22;38;22.11
22;45;72.37
22;50;4.00
22;58;72.52
22;74;89.44
23;5;69.30
23;15;63.69
23;16;64.42
23;18;18.83
23;20;22.01
23;21;52.27
23;22;74.27
23;27;49.01
23;32;72.29
23;35;4.86
23;36;95.72
23;37;83.68
23;45;75.07
23;46;22.76
23;48;94.13
24;15;53.49
24;16;14.76
24;18;49.88
24;20;15.63
24;21;59.67
24;25;45.59
24;27;66.30
24;31;29.39
24;34;99.12
24;37;47.02
24;38;26.82
24;43;83.29
24;54;13.99
24;68;71.18
24;77;36.99
25;11;86.81
25;17;13.60
25;18;34.40
25;19;36.02
25;20;16.18
25;21;86.99
25;22;58.10
25;24;45.59
25;26;69.63
25;27;30.06
25;30;12.42
25;33;16.57
25;36;77.18
25;44;54.35
25;51;95.16
26;22;49.06
26;25;69.63
26;27;6.72
26;28;86.57
26;29;73.54
26;32;79.91
26;33;61.86
26;37;46.91
26;42;87.15
26;44;80.51
26;45;75.16
26;48;5.03
26;49;59.13
26;53;28.67
26;60;17.75
27;16;3.37
27;17;95.05
27;19;73.93
27;22;57.88
27;23;49.01
27;24;66.30
27;25;30.06
27;26;6.72
27;28;89.56
27;33;58.31
27;38;93.10
27;49;14.11
27;62;16.40
27;74;97.99
27;84;21.38
28;18;90.51
28;19;88.42
28;20;71.93
28;21;86.51
28;22;60.34
28;26;86.57
28;27;89.56
28;29;16.59
28;30;73.91
28;32;91.78
28;33;61.15
28;37;18.01
28;45;4.28
28;47;84.41
28;57;28.76
29;17;88.57
29;18;24.20
29;20;48.86
29;21;89.23
29;26;73.54
29;28;16.59
29;30;76.27
29;33;21.29
29;36;27.54
29;38;61.42
29;40;1.64
29;44;38.08
29;45;87.70
29;46;98.61
29;50;47.48
30;12;43.78
30;15;2.71
30;17;97.78
30;22;23.56
30;25;12.42
30;28;73.91
30;29;76.27
30;31;49.83
30;33;98.17
30;38;16.64
30;39;33.59
30;41;26.82
30;43;36.63
30;44;35.24
30;53;70.60
31;6;97.88
31;16;38.20
31;18;81.33
31;24;29.39
31;30;49.83
31;32;85.81
31;33;18.29
31;34;34.21
31;38;71.63
31;39;41.46
31;40;25.00
31;44;27.12
31;48;58.53
31;54;75.32
31;63;91.89
32;16;60.31
32;21;44.46
32;23;72.29
32;26;79.91
32;28;91.78
32;31;85.81
32;33;80.76
32;36;33.62
32;38;75.07
32;43;28.45
32;44;28.91
32;45;71.21
32;46;32.05
32;53;90.96
32;75;52.34
33;1;26.23
33;15;44.58
33;16;87.71
33;19;24.37
33;22;71.12
33;25;16.57
33;26;61.86
33;27;58.31
33;28;61.15
33;29;21.29
33;30;98.17
33;31;18.29
33;32;80.76
33;45;95.81
33;66;49.72
34;16;28.27
34;24;99.12
34;31;34.21
34;35;35.34
34;37;15.42
34;38;54.70
34;39;11.34
34;41;92.63
34;43;90.61
34;51;43.95
34;57;67.09
34;62;11.46
34;68;17.05
34;73;69.97
34;78;43.77
35;17;12.13
35;19;10.90
35;23;4.86
35;34;35.34
35;36;98.30
35;41;69.58
35;43;30.82
35;44;33.26
35;45;16.62
35;46;66.98
35;58;34.62
35;59;62.94
35;65;66.71
35;81;20.23
35;93;40.63
36;16;5.07
36;19;88.04
36;20;19.10
36;23;95.72
36;25;77.18
36;29;27.54
36;32;33.62
36;35;98.30
36;40;49.82
36;41;72.77
36;43;90.46
36;44;67.43
36;46;59.90
36;48;3.63
36;50;6.51
37;20;14.37
37;21;16.31
37;23;83.68
37;24;47.02
37;26;46.91
37;28;18.01
37;34;15.42
37;38;38.01
37;40;10.42
37;41;62.28
37;42;96.85
37;46;45.22
37;51;85.33
37;57;21.17
37;74;17.21
38;22;22.11
38;24;26.82
38;27;93.10
38;29;61.42
38;30;16.64
38;31;71.63
38;32;75.07
38;34;54.70
38;37;38.01
38;40;61.79
38;41;82.72
38;46;62.61
38;53;97.37
38;58;95.86
38;76;67.65
39;17;45.97
39;19;43.79
39;20;89.07
39;30;33.59
39;31;41.46
39;34;11.34
39;41;52.55
39;46;90.17
39;47;82.63
39;48;35.18
39;54;71.99
39;57;99.20
39;58;30.39
39;64;57.27
39;65;51.25
40;29;1.64
40;31;25.00
40;36;49.82
40;37;10.42
40;38;61.79
40;41;8.15
40;44;56.57
40;45;24.41
40;47;18.63
40;49;33.18
40;51;64.00
40;62;47.55
40;63;17.32
40;70;48.68
40;81;17.51
41;15;95.85
41;19;96.97
41;21;88.36
41;30;26.82
41;34;92.63
41;35;69.58
41;36;72.77
41;37;62.28
41;38;82.72
41;39;52.55
41;40;8.15
41;43;83.56
41;51;71.49
41;58;53.75
41;72;19.11
42;18;96.10
42;26;87.15
42;37;96.85
42;43;99.06
42;46;96.41
42;47;62.99
42;48;50.62
42;49;3.93
42;50;32.55
42;55;82.25
42;60;75.84
42;62;76.26
42;63;42.21
42;65;55.64
42;78;92.94
43;17;16.27
43;24;83.29
43;30;36.63
43;32;28.45
43;34;90.61
43;35;30.82
43;36;90.46
43;41;83.56
43;42;99.06
43;48;68.39
43;53;99.98
43;56;66.10
43;57;64.66
43;63;61.70
43;78;3.87
44;25;54.35
44;26;80.51
44;29;38.08
44;30;35.24
44;31;27.12
44;32;28.91
44;35;33.26
44;36;67.43
44;40;56.57
44;51;60.90
44;52;27.99
44;56;88.15
44;57;28.77
44;62;15.29
44;75;31.76
45;22;72.37
45;23;75.07
45;26;75.16
45;28;4.28
45;29;87.70
45;32;71.21
45;33;95.81
45;35;16.62
45;40;24.41
45;50;89.70
45;54;69.07
45;56;74.65
45;57;64.64
45;67;41.26
45;75;71.40
46;23;22.76
46;29;98.61
46;32;32.05
46;35;66.98
46;36;59.90
46;37;45.22
46;38;62.61
46;39;90.17
46;42;96.41
46;50;26.55
46;52;37.54
46;57;53.17
46;58;10.80
46;63;9.45
47;28;84.41
47;39;82.63
47;40;18.63
47;42;62.99
