source;target;label
0;4;18.10
1;5;11.91
1;12;7.93
2;9;5.77
2;10;2.46
3;9;7.22
3;14;7.66
4;0;18.10
4;13;15.54
4;6;7.82
5;1;11.91
5;8;1.39
6;11;16.10
6;8;14.31
6;4;7.82
7;9;5.00
8;6;14.31
8;5;1.39
9;3;7.22
9;2;5.77
9;7;5.00
10;12;5.90
10;2;2.46
11;6;16.10
12;1;7.93
12;10;5.90
13;72;22.76
13;4;15.54
14;3;7.66
15;30;2.71
16;24;14.76
16;36;5.07
16;27;3.37
17;43;16.27
17;25;13.60
17;35;12.13
17;58;2.41
18;23;18.83
19;35;10.90
20;37;14.37
20;21;5.71
20;22;4.79
21;20;5.71
22;20;4.79
22;50;4.00
23;18;18.83
23;35;4.86
24;16;14.76
24;54;13.99
25;33;16.57
25;17;13.60
25;30;12.42
26;48;5.03
27;16;3.37
28;45;4.28
29;40;1.64
30;38;16.64
30;25;12.42
30;15;2.71
31;33;18.29
32;44;28.91
33;31;18.29
33;25;16.57
34;68;17.05
34;37;15.42
34;39;11.34
34;62;11.46
35;45;16.62
35;17;12.13
35;19;10.90
35;23;4.86
36;50;6.51
36;16;5.07
36;48;3.63
37;57;21.17
37;34;15.42
37;20;14.37
37;40;10.42
38;30;16.64
39;34;11.34
40;81;17.51
40;37;10.42
40;41;8.15
40;29;1.64
41;40;8.15
42;49;3.93
43;17;16.27
43;78;3.87
44;32;28.91
44;62;15.29
45;35;16.62
45;28;4.28
46;58;10.80
46;63;9.45
47;51;13.84
47;49;8.37
47;52;7.57
47;50;2.65
48;60;15.87
48;26;5.03
48;36;3.63
49;47;8.37
49;42;3.93
50;36;6.51
50;22;4.00
50;47;2.65
51;47;13.84
52;47;7.57
53;58;11.14
54;24;13.99
54;95;6.08
54;89;4.16
55;72;7.57
56;74;7.54
56;65;3.19
57;37;21.17
58;53;11.14
58;46;10.80
58;17;2.41
59;80;8.24
60;48;15.87
60;69;7.54
61;69;15.55
61;77;7.54
62;44;15.29
62;34;11.46
63;71;14.17
63;77;14.99
63;46;9.45
64;74;11.50
65;72;12.74
65;56;3.19
66;81;2.57
66;73;1.08
67;70;10.63
68;34;17.05
68;88;13.59
69;61;15.55
69;76;8.89
69;60;7.54
70;72;16.15
70;67;10.63
71;63;14.17
72;13;22.76
72;70;16.15
72;65;12.74
72;55;7.57
72;76;1.56
73;66;1.08
74;64;11.50
74;56;7.54
75;96;19.12
75;77;2.87
76;69;8.89
76;93;3.42
76;72;1.56
77;63;14.99
77;61;7.54
77;75;2.87
78;91;38.08
78;43;3.87
79;80;22.16
80;79;22.16
80;59;8.24
80;81;2.95
81;40;17.51
81;66;2.57
81;80;2.95
82;89;7.52
83;96;16.07
84;89;20.95
84;86;17.43
85;93;22.95
86;84;17.43
87;92;12.49
88;68;13.59
89;84;20.95
89;92;8.65
89;82;7.52
89;54;4.16
90;94;18.99
91;78;38.08
92;98;38.65
92;87;12.49
92;97;10.21
92;89;8.65
93;85;22.95
93;76;3.42
94;90;18.99
94;95;17.55
95;94;17.55
95;99;16.71
95;54;6.08
96;75;19.12
96;83;16.07
97;92;10.21
98;92;38.65
99;95;16.71
