source;target;label
0;4;18.10
1;5;11.91
1;12;7.93
2;10;2.46
2;9;5.77
3;9;7.22
3;14;7.66
4;0;18.10
4;6;7.82
4;13;15.54
5;8;1.39
5;1;11.91
6;4;7.82
6;8;14.31
6;11;16.10
7;9;5.00
8;6;14.31
8;5;1.39
9;2;5.77
9;7;5.00
9;3;7.22
10;12;5.90
10;2;2.46
11;6;16.10
12;1;7.93
12;10;5.90
13;4;15.54
13;72;22.76
14;3;7.66
15;30;2.71
16;36;5.07
16;27;3.37
16;24;14.76
17;58;2.41
17;35;12.13
17;25;13.60
17;43;16.27
18;23;18.83
19;35;10.90
20;22;4.79
20;21;5.71
20;37;14.37
21;20;5.71
22;50;4.00
22;20;4.79
23;35;4.86
23;18;18.83
24;16;14.76
24;54;13.99
25;17;13.60
25;30;12.42
25;33;16.57
26;48;5.03
27;16;3.37
28;29;16.59
28;45;4.28
29;40;1.64
29;28;16.59
30;25;12.42
30;15;2.71
30;38;16.64
31;33;18.29
32;44;28.91
33;25;16.57
33;31;18.29
34;37;15.42
34;39;11.34
34;62;11.46
34;68;17.05
35;17;12.13
35;23;4.86
35;19;10.90
36;48;3.63
36;16;5.07
36;50;6.51
37;20;14.37
37;40;10.42
37;34;15.42
37;57;21.17
38;30;16.64
39;34;11.34
40;37;10.42
40;29;1.64
40;41;8.15
40;81;17.51
41;40;8.15
42;49;3.93
43;17;16.27
43;78;3.87
44;62;15.29
44;32;28.91
45;28;4.28
46;63;9.45
46;58;10.80
47;50;2.65
47;52;7.57
47;49;8.37
47;51;13.84
48;60;15.87
48;36;3.63
48;26;5.03
49;47;8.37
49;42;3.93
50;36;6.51
50;47;2.65
50;22;4.00
51;47;13.84
52;47;7.57
53;58;11.14
54;24;13.99
54;89;4.16
54;95;6.08
55;72;7.57
56;65;3.19
56;74;7.54
57;37;21.17
58;46;10.80
58;17;2.41
58;53;11.14
59;80;8.24
60;72;8.37
60;69;7.54
60;48;15.87
61;69;15.55
61;77;7.54
62;34;11.46
62;44;15.29
63;77;14.99
63;46;9.45
63;71;14.17
64;74;11.50
65;72;12.74
65;56;3.19
66;81;2.57
66;73;1.08
67;70;10.63
68;34;17.05
68;88;13.59
69;60;7.54
69;61;15.55
70;72;16.15
70;67;10.63
71;63;14.17
72;13;22.76
72;76;1.56
72;55;7.57
72;60;8.37
72;65;12.74
72;70;16.15
73;66;1.08
74;56;7.54
74;64;11.50
75;77;2.87
75;96;19.12
76;72;1.56
76;93;3.42
77;61;7.54
77;75;2.87
77;63;14.99
78;43;3.87
78;91;38.08
79;80;22.16
80;81;2.95
80;59;8.24
80;79;22.16
81;40;17.51
81;66;2.57
81;80;2.95
82;89;7.52
83;96;16.07
84;89;20.95
84;86;17.43
85;93;22.95
86;84;17.43
87;92;12.49
88;68;13.59
89;54;4.16
89;82;7.52
89;92;8.65
89;84;20.95
90;94;18.99
91;78;38.08
92;89;8.65
92;97;10.21
92;87;12.49
92;98;38.65
93;76;3.42
93;85;22.95
94;95;17.55
94;90;18.99
95;54;6.08
95;99;16.71
95;94;17.55
96;75;19.12
96;83;16.07
97;92;10.21
98;92;38.65
99;95;16.71
