source;target;label
0;3;14.62
0;4;21.41
0;9;24.09
1;2;17.29
2;4;8.39
2;1;17.29
3;0;14.62
4;2;8.39
4;0;21.41
5;11;17.14
6;19;24.29
7;9;8.28
7;12;8.94
8;9;6.66
9;8;6.66
9;7;8.28
9;0;24.09
9;10;28.56
10;11;15.79
10;9;28.56
10;24;50.01
11;10;15.79
11;5;17.14
11;19;26.02
12;7;8.94
13;19;13.51
13;15;18.57
14;23;29.16
14;16;31.84
15;13;18.57
16;30;25.23
16;14;31.84
17;18;23.36
17;25;29.72
18;27;21.06
18;17;23.36
19;20;1.15
19;13;13.51
19;6;24.29
19;11;26.02
20;19;1.15
20;40;22.92
21;23;30.63
22;23;19.00
22;25;21.36
22;28;36.71
23;22;19.00
23;14;29.16
23;21;30.63
24;10;50.01
25;22;21.36
25;17;29.72
26;33;8.79
26;35;10.39
26;32;31.78
27;31;13.01
27;18;21.06
28;39;32.14
28;22;36.71
29;30;1.94
30;29;1.94
30;36;24.45
30;16;25.23
31;27;13.01
32;36;2.75
32;38;21.61
32;26;31.78
33;26;8.79
33;37;9.47
34;37;7.41
35;26;10.39
35;41;23.21
36;32;2.75
36;30;24.45
37;34;7.41
37;33;9.47
38;40;19.67
38;32;21.61
39;28;32.14
40;38;19.67
40;20;22.92
41;35;23.21
41;44;24.46
41;46;32.18
42;59;10.46
42;45;42.62
43;45;53.50
44;41;24.46
44;58;40.29
45;42;42.62
45;43;53.50
46;48;6.27
46;50;13.10
46;41;32.18
46;47;40.52
47;46;40.52
48;46;6.27
49;59;23.20
49;61;44.43
50;46;13.10
50;51;28.81
51;56;11.72
51;52;20.49
51;50;28.81
51;60;33.08
52;51;20.49
53;56;20.95
54;67;3.10
54;63;11.42
55;59;50.02
56;51;11.72
56;53;20.95
57;64;5.92
58;44;40.29
58;64;44.34
59;42;10.46
59;69;16.26
59;49;23.20
59;55;50.02
60;72;14.60
60;62;21.58
60;51;33.08
61;49;44.43
62;60;21.58
63;54;11.42
64;57;5.92
64;58;44.34
65;71;1.89
65;66;3.91
65;69;4.92
66;65;3.91
66;67;11.54
66;77;16.60
67;54;3.10
67;66;11.54
68;73;40.26
69;65;4.92
69;59;16.26
69;72;35.43
69;73;52.98
70;78;7.35
70;79;56.05
71;65;1.89
72;60;14.60
72;69;35.43
73;68;40.26
73;69;52.98
74;83;3.49
74;75;22.85
74;77;30.22
75;74;22.85
76;79;17.90
76;77;42.69
77;66;16.60
77;74;30.22
77;76;42.69
78;70;7.35
79;76;17.90
79;70;56.05
80;82;22.57
