source;target;label
0;70;52.28
0;47;30.05
0;56;6.46
1;48;17.44
2;46;26.94
3;15;39.01
3;65;29.70
3;35;29.18
4;92;37.77
4;61;11.96
4;97;9.55
4;88;3.99
4;78;2.91
5;9;26.87
5;50;7.07
6;33;46.70
6;19;33.89
7;66;31.09
8;69;49.64
9;69;32.74
9;5;26.87
9;76;14.24
9;18;5.92
10;17;11.78
11;40;10.26
11;35;5.34
12;39;21.69
12;14;6.27
13;58;31.08
13;83;8.06
14;26;12.50
14;38;11.59
14;12;6.27
15;3;39.01
16;23;10.94
16;96;10.29
16;54;8.44
17;68;20.49
17;76;12.18
17;10;11.78
17;86;7.26
18;9;5.92
19;73;47.56
19;6;33.89
20;32;56.74
21;91;5.60
22;31;78.56
22;83;36.95
23;90;13.97
23;16;10.94
23;55;10.22
24;41;22.59
24;56;14.44
24;55;6.85
25;54;60.09
26;81;23.40
26;95;16.70
26;14;12.50
27;72;16.83
28;85;51.76
28;43;18.35
29;30;11.16
29;87;7.84
29;64;7.41
30;73;19.38
30;29;11.16
31;22;78.56
32;94;86.06
32;20;56.74
32;73;9.80
33;6;46.70
33;57;39.84
34;59;18.80
34;58;14.40
35;3;29.18
35;84;26.34
35;85;12.79
35;11;5.34
36;58;25.90
37;46;19.24
38;74;13.80
38;14;11.59
39;12;21.69
39;45;6.16
40;11;10.26
41;46;25.87
41;24;22.59
42;78;25.07
42;66;18.36
43;28;18.35
44;96;2.85
45;39;6.16
46;2;26.94
46;41;25.87
46;37;19.24
46;59;19.01
47;0;30.05
48;75;67.82
48;88;19.82
48;1;17.44
48;95;8.08
49;54;33.38
49;82;29.34
50;89;24.20
50;5;7.07
51;55;38.14
52;71;37.86
52;77;33.90
53;75;66.24
54;25;60.09
54;49;33.38
54;16;8.44
55;51;38.14
55;23;10.22
55;74;8.77
55;24;6.85
56;24;14.44
56;0;6.46
57;33;39.84
58;13;31.08
58;36;25.90
58;67;22.42
58;34;14.40
58;84;10.41
59;46;19.01
59;34;18.80
60;98;35.23
60;96;6.81
61;4;11.96
62;76;48.98
63;66;30.07
64;72;20.52
64;85;17.84
64;29;7.41
65;3;29.70
66;7;31.09
66;63;30.07
66;42;18.36
67;58;22.42
68;17;20.49
69;8;49.64
69;9;32.74
70;0;52.28
71;52;37.86
71;83;30.33
72;64;20.52
72;27;16.83
73;19;47.56
73;30;19.38
73;32;9.80
74;38;13.80
74;55;8.77
75;48;67.82
75;53;66.24
76;62;48.98
76;91;15.80
76;9;14.24
76;17;12.18
77;52;33.90
78;42;25.07
78;4;2.91
79;83;52.71
80;83;5.63
81;26;23.40
82;49;29.34
83;79;52.71
83;22;36.95
83;71;30.33
83;13;8.06
83;80;5.63
84;99;31.48
84;35;26.34
84;58;10.41
84;86;2.97
85;28;51.76
85;64;17.84
85;35;12.79
86;17;7.26
86;84;2.97
87;29;7.84
88;48;19.82
88;4;3.99
89;50;24.20
90;23;13.97
91;76;15.80
91;21;5.60
92;4;37.77
93;98;33.43
94;32;86.06
95;26;16.70
95;48;8.08
96;16;10.29
96;60;6.81
96;44;2.85
97;4;9.55
98;60;35.23
98;93;33.43
99;84;31.48
