source;target;label
0;210;91.81
1;467;46.29
1;89;36.77
1;349;16.08
2;105;1.17
2;395;64.71
3;407;34.23
3;185;11.79
4;495;68.67
4;258;74.34
5;470;13.58
6;462;41.81
6;229;9.58
7;183;62.54
7;199;36.40
7;346;79.29
8;404;47.71
9;252;5.25
9;154;60.07
10;285;27.09
10;21;91.04
10;33;59.00
10;381;83.76
10;400;97.73
11;498;96.38
11;225;79.74
12;386;99.41
12;392;66.43
12;350;14.44
12;486;5.31
13;132;33.28
13;68;93.67
13;23;45.47
13;99;44.18
14;164;30.20
14;396;5.31
14;311;81.97
15;300;91.76
15;210;61.71
15;318;62.93
15;403;49.18
15;29;74.54
15;78;81.47
15;380;73.24
16;383;96.38
16;370;49.89
16;315;68.33
17;201;6.22
17;91;32.35
17;343;97.05
18;210;67.79
18;286;70.67
19;321;70.47
19;277;42.25
19;423;48.61
19;262;87.30
19;477;14.49
20;151;62.21
20;61;6.76
20;66;11.91
20;459;11.33
21;87;36.05
21;10;91.04
21;283;85.56
21;42;69.49
21;320;20.93
21;370;58.48
22;466;45.74
22;121;92.42
22;231;21.27
22;186;80.76
23;368;77.65
23;421;79.94
23;45;3.90
23;13;45.47
23;136;54.41
23;123;93.97
24;288;12.83
24;207;49.21
25;28;88.04
26;413;75.59
27;183;67.60
27;434;64.87
28;219;97.82
28;408;79.21
28;412;96.75
28;289;89.76
28;67;17.66
28;25;88.04
29;15;74.54
29;477;49.00
29;419;5.78
30;157;92.72
30;36;99.16
31;317;15.81
31;339;49.94
31;394;55.69
32;96;94.12
32;227;16.77
32;71;20.26
32;159;82.48
33;43;91.71
33;10;59.00
33;244;18.28
33;281;81.74
33;47;33.08
34;94;79.22
35;393;16.03
36;253;49.86
36;64;7.90
36;277;46.22
36;30;99.16
37;204;26.08
37;208;17.01
38;186;3.96
38;450;60.32
38;302;90.30
38;380;60.00
38;361;40.24
38;273;45.12
38;421;84.68
39;226;2.55
39;191;21.01
39;419;89.85
40;192;7.38
40;243;36.63
40;265;79.69
40;236;15.66
41;150;53.12
41;317;33.93
42;393;48.21
42;70;90.70
42;21;69.49
42;447;82.00
43;33;91.71
43;77;79.21
43;297;1.37
44;367;79.04
44;261;39.51
44;414;83.60
44;445;62.63
44;307;48.15
45;333;53.88
45;23;3.90
46;281;24.27
46;105;24.49
46;112;5.65
47;174;70.25
47;33;33.08
48;440;12.39
48;322;95.77
49;52;17.95
50;274;92.14
50;245;81.34
50;123;29.31
50;394;64.79
50;297;30.72
51;345;98.84
51;154;46.76
51;437;87.98
52;49;17.95
52;435;24.24
53;273;42.30
53;393;97.71
53;85;25.39
54;420;54.90
54;82;47.59
54;264;11.07
55;221;57.20
56;77;87.74
56;473;96.20
56;179;63.31
57;170;39.89
57;350;67.80
58;109;56.73
58;161;41.87
58;224;50.05
58;314;99.76
59;388;58.33
59;376;3.84
59;450;38.05
59;176;1.39
59;100;36.28
59;93;90.53
60;392;81.89
60;80;59.77
60;302;12.10
60;275;65.06
60;477;21.68
60;467;21.55
61;481;67.92
61;361;61.58
61;20;6.76
61;429;83.70
63;125;48.92
63;333;67.37
63;405;63.79
63;75;83.97
64;36;7.90
64;92;59.50
65;260;17.09
65;246;74.49
66;276;79.46
66;20;11.91
66;420;40.37
66;352;7.65
67;124;95.86
67;487;34.56
67;262;52.34
67;115;75.79
67;28;17.66
67;113;43.47
68;432;21.65
68;261;82.74
68;13;93.67
69;192;6.42
69;453;38.72
69;322;57.40
69;248;95.13
69;392;91.24
69;361;99.67
70;307;37.64
70;42;90.70
71;329;66.54
71;32;20.26
71;316;26.21
71;229;66.49
72;135;13.40
72;461;81.85
72;215;99.79
72;376;48.35
73;357;99.53
73;381;87.43
74;218;82.64
75;128;20.88
75;266;21.44
75;386;63.97
75;93;99.79
75;63;83.97
76;496;45.61
77;56;87.74
77;43;79.21
78;318;49.49
78;15;81.47
79;271;9.92
79;485;67.51
79;276;37.38
79;327;77.56
80;235;7.06
80;150;25.30
80;60;59.77
80;253;31.32
81;190;8.84
81;391;5.48
82;490;32.33
82;54;47.59
83;329;40.32
84;287;52.02
84;455;49.98
85;134;45.54
85;427;92.08
85;385;79.98
85;131;24.23
85;173;64.50
85;53;25.39
86;471;38.89
86;248;30.24
87;21;36.05
87;135;43.60
87;448;33.72
88;344;57.69
88;153;52.91
89;279;5.23
89;289;41.98
