source;target;label
0;32;7.43
1;99;2.15
1;26;1.13
2;22;3.14
3;65;24.00
4;15;3.89
4;10;1.28
5;75;12.39
6;65;5.69
7;50;10.32
7;44;6.33
8;96;4.12
8;13;2.10
9;39;1.19
10;35;2.16
10;4;1.28
11;55;22.67
11;35;2.68
11;88;2.84
12;31;9.86
12;39;5.75
12;49;4.03
13;83;4.27
13;8;2.10
13;76;1.09
14;93;10.19
15;4;3.89
15;26;3.56
15;45;3.84
15;91;1.39
16;80;4.44
17;65;6.63
18;59;10.01
19;20;7.19
19;30;6.61
19;44;4.16
20;19;7.19
21;35;10.22
22;2;3.14
22;60;3.94
22;69;3.61
23;52;5.33
24;40;7.11
24;43;2.09
25;65;12.95
26;15;3.56
26;60;2.79
26;1;1.13
27;36;12.33
28;75;2.36
29;73;8.16
30;19;6.61
31;12;9.86
31;92;6.13
31;68;3.05
32;0;7.43
32;76;4.39
33;84;3.06
34;97;2.50
35;21;10.22
35;79;5.49
35;10;2.16
35;11;2.68
35;68;1.54
36;27;12.33
36;89;2.79
37;41;12.59
37;58;10.49
37;79;7.44
37;87;3.26
38;95;11.72
38;68;6.32
39;12;5.75
39;9;1.19
40;24;7.11
40;61;7.51
41;37;12.59
42;66;7.08
42;70;6.23
43;24;2.09
43;94;2.38
44;7;6.33
44;19;4.16
44;60;2.30
45;85;19.88
45;15;3.84
46;52;7.15
46;89;7.38
46;73;3.77
47;57;12.59
47;51;5.75
47;64;4.06
48;98;3.00
49;74;9.37
49;12;4.03
50;7;10.32
51;47;5.75
51;52;2.29
52;46;7.15
52;23;5.33
52;93;5.55
52;51;2.29
53;97;7.29
54;64;4.34
55;11;22.67
56;84;5.09
56;86;4.95
57;47;12.59
58;37;10.49
59;62;11.03
59;18;10.01
59;73;7.50
60;22;3.94
60;26;2.79
60;44;2.30
61;40;7.51
62;59;11.03
63;75;15.56
64;47;4.06
64;54;4.34
65;3;24.00
65;25;12.95
65;17;6.63
65;72;6.29
65;6;5.69
65;74;2.60
65;77;1.53
66;82;8.41
66;42;7.08
66;94;7.61
67;95;3.69
68;38;6.32
68;80;6.64
68;31;3.05
68;81;2.63
68;35;1.54
69;22;3.61
70;42;6.23
71;80;5.14
71;73;2.48
72;65;6.29
73;29;8.16
73;59;7.50
73;46;3.77
73;71;2.48
74;49;9.37
74;65;2.60
75;63;15.56
75;5;12.39
75;79;3.44
75;28;2.36
76;32;4.39
76;94;4.53
76;13;1.09
76;84;1.15
77;78;12.74
77;65;1.53
78;77;12.74
79;37;7.44
79;35;5.49
79;75;3.44
80;68;6.64
80;71;5.14
80;16;4.44
81;68;2.63
82;66;8.41
83;13;4.27
84;56;5.09
84;33;3.06
84;76;1.15
85;45;19.88
86;56;4.95
87;98;6.98
87;37;3.26
88;11;2.84
89;46;7.38
89;36;2.79
90;97;3.42
90;93;2.89
91;15;1.39
92;31;6.13
93;14;10.19
93;52;5.55
93;90;2.89
93;96;2.42
94;66;7.61
94;76;4.53
94;43;2.38
95;38;11.72
95;67;3.69
96;8;4.12
96;93;2.42
97;53;7.29
97;90;3.42
97;34;2.50
98;87;6.98
98;48;3.00
99;1;2.15
