source;target;label
0;13;14.08
1;12;31.68
2;15;2.80
3;17;10.06
4;22;9.14
5;13;9.20
5;20;2.06
6;21;5.86
6;10;4.24
6;12;9.39
7;21;2.88
7;14;7.31
8;9;12.34
9;12;1.85
9;16;7.78
9;8;12.34
10;6;4.24
11;12;6.45
12;6;9.39
12;9;1.85
12;11;6.45
12;17;7.39
12;18;12.71
12;1;31.68
13;0;14.08
13;5;9.20
13;22;11.85
14;7;7.31
15;20;8.30
15;2;2.80
15;19;3.81
16;9;7.78
16;25;20.12
17;12;7.39
17;3;10.06
17;29;11.64
18;12;12.71
19;15;3.81
20;5;2.06
20;21;6.01
20;15;8.30
21;20;6.01
21;7;2.88
21;6;5.86
21;28;12.62
22;13;11.85
22;4;9.14
23;27;26.04
24;28;14.51
24;26;6.94
25;16;20.12
26;24;6.94
27;28;23.79
27;23;26.04
28;21;12.62
28;24;14.51
28;27;23.79
29;17;11.64
