source;target;label
0;59;6.39
1;85;2.91
2;36;11.29
3;97;2.66
3;33;8.90
4;85;1.87
5;51;3.65
6;10;1.30
6;13;3.78
6;51;4.80
7;36;5.90
7;75;12.38
7;17;13.01
8;71;4.15
8;9;7.27
8;90;8.41
8;41;10.67
9;97;6.44
9;8;7.27
9;98;7.05
10;6;1.30
11;64;9.23
12;78;5.71
12;20;6.25
13;6;3.78
13;29;5.60
14;28;1.79
14;35;3.85
15;27;3.50
16;60;3.91
17;7;13.01
18;20;4.37
18;41;4.36
19;87;1.54
19;75;9.48
20;18;4.37
20;12;6.25
20;21;8.89
21;20;8.89
21;45;9.13
22;25;3.17
23;64;1.65
23;42;5.35
23;86;6.19
23;76;8.67
24;37;8.67
25;77;1.81
25;83;2.99
25;22;3.17
25;96;6.47
26;54;23.62
27;49;2.38
27;15;3.50
28;14;1.79
28;96;7.32
28;66;8.27
29;13;5.60
29;91;5.38
29;69;8.50
30;95;14.22
31;50;1.45
31;85;3.51
32;69;3.18
33;40;4.99
33;87;4.81
33;51;5.93
33;3;8.90
34;38;2.96
34;59;2.49
34;39;6.95
35;14;3.85
36;7;5.90
36;2;11.29
37;24;8.67
37;86;9.07
38;34;2.96
38;89;5.54
39;34;6.95
40;33;4.99
40;70;4.36
40;94;4.21
41;18;4.36
41;54;9.69
41;8;10.67
42;74;1.29
42;23;5.35
42;95;8.28
43;51;1.85
43;46;3.03
43;61;6.51
43;82;10.82
44;76;5.78
45;21;9.13
46;43;3.03
47;56;5.94
47;50;7.55
47;48;11.80
47;80;11.76
48;58;9.01
48;47;11.80
49;27;2.38
49;57;2.96
49;65;7.57
49;93;7.06
49;67;10.50
50;31;1.45
50;72;5.88
50;47;7.55
51;43;1.85
51;5;3.65
51;6;4.80
51;33;5.93
52;89;2.42
52;88;19.77
53;92;11.58
53;90;13.91
54;41;9.69
54;26;23.62
55;91;10.24
56;99;1.16
56;47;5.94
56;73;43.50
57;97;1.81
57;49;2.96
58;48;9.01
59;34;2.49
59;66;2.73
59;0;6.39
60;16;3.91
60;76;4.24
61;43;6.51
62;67;9.52
63;65;9.73
64;23;1.65
64;11;9.23
65;49;7.57
65;63;9.73
66;59;2.73
66;76;2.35
66;28;8.27
67;62;9.52
67;49;10.50
68;75;8.18
69;32;3.18
69;29;8.50
70;40;4.36
71;8;4.15
71;72;5.17
72;50;5.88
72;71;5.17
73;56;43.50
74;42;1.29
75;68;8.18
75;19;9.48
75;7;12.38
76;66;2.35
76;60;4.24
76;44;5.78
76;23;8.67
77;25;1.81
78;12;5.71
79;99;7.89
80;47;11.76
81;83;2.24
82;43;10.82
83;25;2.99
83;81;2.24
84;95;6.42
85;4;1.87
85;1;2.91
85;31;3.51
86;23;6.19
86;37;9.07
87;19;1.54
87;33;4.81
88;52;19.77
89;52;2.42
89;38;5.54
90;8;8.41
90;53;13.91
91;29;5.38
91;55;10.24
92;53;11.58
93;49;7.06
94;40;4.21
95;84;6.42
95;42;8.28
95;30;14.22
96;25;6.47
96;28;7.32
96;98;7.11
97;57;1.81
97;3;2.66
97;9;6.44
98;9;7.05
98;96;7.11
99;56;1.16
99;79;7.89
