source;target;label
0;4;13.63
0;5;74.59
0;11;20.07
0;12;20.67
0;13;72.27
0;14;92.33
0;15;3.99
0;17;98.24
0;20;90.36
0;22;52.70
0;23;28.22
0;27;11.27
0;28;74.81
0;29;66.60
1;2;70.77
1;3;83.60
1;6;41.45
1;8;23.65
1;9;28.73
1;12;16.96
1;15;41.95
1;18;94.83
1;19;62.17
1;20;44.05
1;22;46.49
1;23;8.22
1;24;14.25
2;1;70.77
2;3;26.47
2;4;63.70
2;5;55.93
2;10;52.53
2;11;93.82
2;14;11.21
2;15;81.58
2;17;98.98
2;19;45.51
2;21;92.25
2;22;45.43
2;25;33.42
2;27;29.25
2;29;8.76
3;1;83.60
3;2;26.47
3;4;67.30
3;5;42.14
3;8;44.95
3;10;97.99
3;11;93.21
3;12;28.48
3;14;55.17
3;17;53.84
3;18;21.10
3;20;99.45
3;22;22.37
3;23;80.49
3;25;41.78
3;26;10.89
3;27;44.87
3;28;68.96
4;0;13.63
4;2;63.70
4;3;67.30
4;6;5.69
4;9;27.82
4;10;6.96
4;12;98.34
4;14;37.94
4;16;43.56
4;19;22.66
4;21;24.22
4;22;15.90
4;24;91.28
4;25;32.43
4;26;15.59
4;27;76.97
5;0;74.59
5;2;55.93
5;3;42.14
5;7;42.63
5;8;62.60
5;9;43.84
5;10;29.22
5;12;2.80
5;14;70.44
5;17;43.34
5;18;59.54
5;20;81.13
5;23;67.49
5;24;41.47
5;28;75.50
6;1;41.45
6;4;5.69
6;7;56.30
6;8;53.30
6;9;66.80
6;10;28.47
6;12;64.59
6;13;45.21
6;14;72.61
6;16;51.47
6;18;90.77
6;20;2.33
6;25;59.26
6;27;41.03
6;29;35.38
7;5;42.63
7;6;56.30
7;9;97.16
7;12;99.96
7;16;12.63
7;17;87.23
7;19;70.51
7;21;73.80
7;22;9.37
7;23;85.20
7;24;80.77
7;25;61.43
7;27;96.02
7;28;54.55
7;29;32.99
8;1;23.65
8;3;44.95
8;5;62.60
8;6;53.30
8;12;31.64
8;13;81.05
8;18;82.74
8;19;73.21
8;20;14.58
8;21;41.41
8;24;94.71
8;25;42.33
8;26;10.52
8;27;12.95
8;29;48.91
9;1;28.73
9;4;27.82
9;5;43.84
9;6;66.80
9;7;97.16
9;12;77.01
9;14;18.46
9;15;8.17
9;17;15.42
9;18;60.03
9;19;75.73
9;23;48.99
9;24;94.04
9;28;46.33
9;29;53.35
10;2;52.53
10;3;97.99
10;4;6.96
10;5;29.22
10;6;28.47
10;11;62.82
10;12;8.37
10;13;78.32
10;14;38.51
10;15;62.44
10;16;16.90
10;17;12.43
10;20;31.79
10;21;3.73
10;22;22.54
10;23;35.93
10;27;45.51
11;0;20.07
11;2;93.82
11;3;93.21
11;10;62.82
11;12;63.48
11;13;18.00
11;14;4.48
11;15;48.60
11;16;88.65
11;18;74.11
11;19;50.79
11;21;47.38
11;23;62.47
11;25;34.76
12;0;20.67
12;1;16.96
12;3;28.48
12;4;98.34
12;5;2.80
12;6;64.59
12;7;99.96
12;8;31.64
12;9;77.01
12;10;8.37
12;11;63.48
12;14;44.08
12;21;33.67
12;22;89.49
12;26;89.94
12;27;30.06
12;29;58.03
13;0;72.27
13;6;45.21
13;8;81.05
13;10;78.32
13;11;18.00
13;16;42.40
13;17;95.48
13;18;58.58
13;19;77.61
13;22;55.25
13;23;21.32
13;25;62.44
13;27;22.14
13;28;10.20
13;29;56.15
14;0;92.33
14;2;11.21
14;3;55.17
14;4;37.94
14;5;70.44
14;6;72.61
14;9;18.46
14;10;38.51
14;11;4.48
14;12;44.08
14;17;21.24
14;20;61.20
14;21;85.49
14;25;88.32
14;26;55.85
14;27;84.80
14;28;15.48
15;0;3.99
15;1;41.95
15;2;81.58
15;9;8.17
15;10;62.44
15;11;48.60
15;18;15.06
15;19;65.98
15;20;63.19
15;22;53.64
15;25;43.20
15;28;21.30
16;4;43.56
16;6;51.47
16;7;12.63
16;10;16.90
16;11;88.65
16;13;42.40
16;19;47.05
16;22;95.27
16;25;42.17
16;26;18.23
16;29;41.78
17;0;98.24
17;2;98.98
17;3;53.84
17;5;43.34
17;7;87.23
17;9;15.42
17;10;12.43
17;13;95.48
17;14;21.24
17;19;35.33
17;22;20.83
17;23;5.69
17;25;27.71
17;27;15.84
17;28;94.08
17;29;63.03
18;1;94.83
18;3;21.10
18;5;59.54
18;6;90.77
18;8;82.74
18;9;60.03
18;11;74.11
18;13;58.58
18;15;15.06
18;19;38.85
18;22;23.87
18;23;94.04
18;24;53.99
18;26;47.07
18;27;35.83
18;28;65.54
18;29;33.58
19;1;62.17
19;2;45.51
19;4;22.66
19;7;70.51
19;8;73.21
19;9;75.73
19;11;50.79
19;13;77.61
19;15;65.98
19;16;47.05
19;17;35.33
19;18;38.85
19;20;77.38
19;21;96.28
19;23;68.53
19;24;11.89
19;25;40.85
19;26;74.25
19;27;84.79
19;29;23.47
20;0;90.36
20;1;44.05
20;3;99.45
20;5;81.13
20;6;2.33
20;8;14.58
20;10;31.79
20;14;61.20
20;15;63.19
20;19;77.38
20;21;83.82
20;22;66.36
20;23;78.22
20;25;10.12
20;26;90.77
20;28;35.94
20;29;49.84
21;2;92.25
21;4;24.22
21;7;73.80
21;8;41.41
21;10;3.73
21;11;47.38
21;12;33.67
21;14;85.49
21;19;96.28
21;20;83.82
21;27;41.50
21;29;54.57
22;0;52.70
22;1;46.49
22;2;45.43
22;3;22.37
22;4;15.90
22;7;9.37
22;10;22.54
22;12;89.49
22;13;55.25
22;15;53.64
22;16;95.27
22;17;20.83
22;18;23.87
22;20;66.36
22;25;74.38
22;26;47.19
22;27;14.68
22;28;85.77
22;29;22.06
23;0;28.22
23;1;8.22
23;3;80.49
23;5;67.49
23;7;85.20
23;9;48.99
23;10;35.93
23;11;62.47
23;13;21.32
23;17;5.69
23;18;94.04
23;19;68.53
23;20;78.22
23;24;79.24
23;25;63.84
23;26;44.39
23;27;28.41
24;1;14.25
24;4;91.28
24;5;41.47
24;7;80.77
24;8;94.71
24;9;94.04
24;18;53.99
24;19;11.89
24;23;79.24
24;25;59.95
24;26;96.38
24;28;66.91
24;29;65.87
25;2;33.42
25;3;41.78
25;4;32.43
25;6;59.26
25;7;61.43
25;8;42.33
25;11;34.76
25;13;62.44
25;14;88.32
25;15;43.20
25;16;42.17
25;17;27.71
25;19;40.85
25;20;10.12
25;22;74.38
25;23;63.84
25;24;59.95
26;3;10.89
26;4;15.59
26;8;10.52
26;12;89.94
26;14;55.85
26;16;18.23
26;18;47.07
26;19;74.25
26;20;90.77
26;22;47.19
26;23;44.39
26;24;96.38
26;28;45.98
26;29;66.01
27;0;11.27
27;2;29.25
27;3;44.87
27;4;76.97
27;6;41.03
27;7;96.02
27;8;12.95
27;10;45.51
27;12;30.06
27;13;22.14
27;14;84.80
27;17;15.84
27;18;35.83
27;19;84.79
27;21;41.50
27;22;14.68
27;23;28.41
28;0;74.81
28;3;68.96
28;5;75.50
28;7;54.55
28;9;46.33
28;13;10.20
28;14;15.48
28;15;21.30
28;17;94.08
28;18;65.54
28;20;35.94
28;22;85.77
28;24;66.91
28;26;45.98
28;29;43.60
29;0;66.60
29;2;8.76
29;6;35.38
29;7;32.99
29;8;48.91
29;9;53.35
29;12;58.03
29;13;56.15
29;16;41.78
29;17;63.03
29;18;33.58
29;19;23.47
29;20;49.84
29;21;54.57
29;22;22.06
29;24;65.87
29;26;66.01
29;28;43.60
