source;target;label
0;73;16.12
0;154;11.70
1;368;20.56
1;334;18.13
1;326;15.91
2;222;28.68
3;305;15.55
3;57;9.78
3;238;3.76
3;203;1.55
4;39;7.07
4;417;7.59
4;76;6.60
4;128;2.30
5;268;5.13
5;380;2.39
5;336;1.16
6;245;10.35
6;8;6.90
7;340;18.57
7;164;16.71
7;395;13.54
7;165;2.71
8;6;6.90
8;186;6.65
8;200;6.93
9;453;15.42
9;379;12.10
9;442;3.15
10;382;18.60
10;150;13.05
10;282;3.60
11;14;12.14
11;324;6.92
12;146;17.21
12;194;17.90
13;103;16.69
13;404;12.52
13;484;2.65
14;11;12.14
14;480;10.21
14;28;8.29
15;173;13.36
16;365;22.35
17;88;27.02
18;130;15.67
18;98;10.55
19;233;10.72
19;474;8.69
19;354;5.67
19;285;4.50
20;83;10.83
20;179;7.77
20;74;2.44
21;39;11.23
21;402;2.67
22;455;14.01
22;322;6.94
23;26;7.71
23;343;7.37
24;182;6.39
25;99;27.65
25;316;7.96
25;398;2.05
26;23;7.71
27;364;12.87
27;65;1.26
28;69;10.50
28;14;8.29
28;266;4.56
28;225;3.59
29;451;23.18
30;242;7.78
30;202;4.70
30;322;4.18
30;345;3.29
31;65;3.42
32;446;9.32
32;71;3.13
33;137;31.43
33;339;4.67
33;76;2.91
34;321;6.61
35;114;18.90
35;68;12.60
36;485;28.89
37;135;9.61
37;461;7.14
38;213;2.28
39;21;11.23
39;4;7.07
40;50;19.19
40;338;6.96
40;202;2.90
41;323;18.25
41;190;9.88
41;170;4.91
42;317;16.39
42;62;4.78
43;332;19.56
43;254;7.49
44;258;4.26
44;427;4.37
45;326;8.45
46;475;14.05
46;237;13.99
46;383;6.65
46;200;2.13
47;195;15.25
48;57;34.33
49;77;15.85
50;467;23.67
50;307;21.33
50;40;19.19
50;356;13.76
51;133;16.11
51;458;16.56
52;183;21.66
52;174;16.40
52;283;16.67
53;230;15.13
54;69;9.69
55;323;34.05
56;225;32.01
57;48;34.33
57;3;9.78
58;387;33.66
58;155;14.87
59;241;10.00
59;461;8.36
59;94;6.07
59;182;6.51
59;439;3.25
60;290;10.73
61;109;10.89
62;357;15.42
62;342;9.80
62;165;7.06
62;42;4.78
63;391;9.63
64;464;8.31
65;208;11.60
65;31;3.42
65;27;1.26
66;164;22.32
67;329;31.56
67;84;15.41
67;416;15.29
68;35;12.60
68;187;11.43
69;28;10.50
69;54;9.69
70;430;33.22
70;78;9.85
70;422;4.82
71;246;47.68
71;32;3.13
72;460;16.60
72;102;13.20
73;0;16.12
74;20;2.44
75;142;11.71
75;213;11.89
75;86;5.19
76;287;18.04
76;446;17.12
76;4;6.60
76;33;2.91
76;353;2.92
77;49;15.85
77;442;11.35
77;200;9.27
77;225;3.62
78;120;10.31
78;70;9.85
78;81;5.86
79;99;31.49
80;298;21.74
80;250;8.75
81;78;5.86
82;407;31.79
83;251;29.27
83;258;16.83
83;20;10.83
83;207;5.35
83;230;1.90
84;362;28.79
84;67;15.41
85;170;2.41
86;224;16.51
86;75;5.19
86;347;5.45
87;425;15.59
87;352;11.57
88;17;27.02
88;354;1.38
89;304;22.66
89;475;6.44
90;366;10.23
90;394;6.35
90;460;5.96
91;313;5.11
92;204;29.60
92;348;15.15
92;271;9.52
92;488;2.01
93;318;23.60
94;59;6.07
95;398;17.92
96;164;8.97
97;494;24.79
98;18;10.55
98;141;10.58
99;79;31.49
99;25;27.65
100;244;25.09
100;306;5.24
101;468;7.19
101;258;2.78
102;72;13.20
103;13;16.69
104;315;7.45
105;114;20.87
105;416;1.48
106;227;21.28
106;107;1.55
107;106;1.55
107;284;1.10
108;325;22.52
108;277;15.89
109;61;10.89
109;463;4.04
109;140;1.49
110;389;23.59
110;457;14.44
111;480;14.50
111;157;10.63
111;492;5.96
112;136;17.05
112;346;1.96
113;215;14.02
114;105;20.87
114;35;18.90
114;297;18.75
115;493;21.95
115;418;15.68
115;298;12.00
116;255;12.50
117;391;26.03
117;462;19.57
117;320;16.40
117;282;7.78
118;390;30.22
118;380;7.21
119;254;18.78
120;176;35.88
120;407;14.91
120;78;10.31
120;426;9.02
121;428;3.67
122;213;14.22
122;376;10.00
122;145;2.13
123;494;21.12
124;255;7.66
124;241;1.36
125;259;14.69
126;359;15.51
126;476;8.07
126;198;5.24
126;416;3.90
126;209;2.43
127;243;46.05
127;185;22.88
128;425;12.55
128;191;5.90
128;172;4.52
128;4;2.30
129;150;1.61
130;18;15.67
131;170;11.08
131;151;3.98
132;312;14.91
132;267;5.43
133;189;17.12
133;51;16.11
134;293;20.14
134;278;3.44
135;386;13.74
135;37;9.61
135;485;9.31
136;470;27.75
136;291;21.65
136;112;17.05
137;33;31.43
138;474;1.85
139;392;3.28
140;299;12.38
140;313;2.23
140;109;1.49
141;479;13.55
141;98;10.58
142;75;11.71
143;450;10.73
144;193;9.56
145;122;2.13
145;476;1.00
146;12;17.21
146;242;9.33
147;338;14.87
148;170;8.20
148;274;4.18
148;316;1.79
149;411;12.47
150;10;13.05
150;129;1.61
151;220;25.92
151;131;3.98
152;416;6.87
152;447;5.95
153;392;6.67
154;0;11.70
154;161;8.11
154;459;4.34
155;58;14.87
155;341;13.01
155;186;6.41
155;363;6.14
156;348;5.85
157;498;13.89
157;111;10.63
158;256;12.86
158;450;2.98
159;167;16.41
160;300;16.12
160;449;3.69
161;154;8.11
162;356;22.23
163;394;10.43
163;259;2.18
164;66;22.32
164;7;16.71
164;96;8.97
165;62;7.06
165;7;2.71
166;474;11.92
167;159;16.41
167;316;15.25
168;454;16.62
169;276;16.60
169;466;13.81
169;461;12.43
169;388;1.46
170;131;11.08
170;148;8.20
